"parent_id,""child_id"""
"ch_users,ch_supervisors_1"
"ch_users,ch_ticket_care_all"
"ch_users,ch_tickets_for_232"
"cities,active_object_slise_2"
"cities,active_objects_photos"
"cities,all_salary_user"
"cities,all_supply_a"
"cities,all_ticket_166"
"cities,all_uploads_to_sites_moskow"
"cities,bg_new"
"cities,bi_expose_flats_objects"
"cities,call_ries_object"
"cities,call_ries_ticket"
"cities,calls_kvint_ries"
"cities,checked_objects"
"cities,convers_cooperative"
"cities,convers_cooperative_ticket"
"cities,converse_buy_1"
"cities,converse_buy_2"
"cities,converse_cooperative_buy_incoming"
"cities,converse_cooperative_buy_outgoing"
"cities,converse_cooperative_sell"
"cities,converse_cooperative_sell_incoming"
"cities,converse_cooperative_sell_outgoing"
"cities,converse_cooperative_sell_ticket"
"cities,conversion_calls_agrerator"
"cities,conversion_slice1"
"cities,count_prolong_15"
"cities,count_prolong_15_185"
"cities,count_prolong_gli"
"cities,count_prolong_gli_185"
"cities,count_prolong_gli_mortgage_consult"
"cities,count_prolong_gli_mortgage_consult_185"
"cities,created_objects_from_2015"
"cities,crm_omni_ticket_tild"
"cities,crm_stat_calls_omni_barnaul_new_final"
"cities,crm_stat_calls_omni_internal_final"
"cities,crm_stat_calls_omni_new_final"
"cities,deals_76"
"cities,deals_buy_mortgage_final"
"cities,deals_commission_all"
"cities,deals_sell"
"cities,deleted_object"
"cities,deposit_buy"
"cities,deposit_other_agency"
"cities,deposit_sell"
"cities,dr_deals_payments"
"cities,dr_leases_salary"
"cities,error_all_upload"
"cities,exclusive_object_all"
"cities,fields_for_calculating_sale_conversion"
"cities,funnel_lease"
"cities,funnel_rent"
"cities,insurance_count_prolong_185"
"cities,insurance_count_prolong_all"
"cities,insurance_deals_buy_mortgage"
"cities,insuranse_clients_from_deals"
"cities,join_ticket"
"cities,mortgage_calls"
"cities,mortgage_tickets_4_9_month"
"cities,not_region_ticket"
"cities,nsk_sites_paper"
"cities,object_additional_fields_all_new"
"cities,object_all_final"
"cities,object_care_all"
"cities,objects_complaints"
